backlog_row,priority,title,creator,candidate_id,current_outcome,importer_status,blocker,updated_at
154,P1,Marvel's Squirrel Girl: The Unbeatable Radio Show!,Marvel / SiriusXM,a619a942-bb69-438e-a393-b7e0fc03d919,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:23:24
155,P1,Marvels,Marvel / Stitcher,fcb51011-d583-4c3d-abe6-42b0a40dbd58,needs-review,needs-review,scope-review; source-conflict,2026-08-15 17:23:26
157,P1,Orphan Black: The Next Chapter,Realm,854d2277-bb70-41d4-8568-ff9219333002,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:23:26
158,P1,Echo Park,Realm,854d2277-bb70-41d4-8568-ff9219333002,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:23:26
159,P1,Spark Hunter,Realm,,unattempted,,,
160,P1,Marigold Breach,Realm,bb307499-f5aa-4b64-be70-6067e3a2d87f,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:14:56
161,P1,Power Trip,Realm,,unattempted,,,
162,P1,Overleaper,Realm,be32a630-bd56-44d3-9da0-9d6cb6e6b35c,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:51
163,P1,If I Go Missing the Witches Did It,Realm,,unattempted,,,
164,P1,Roanoke Falls,Realm,,unattempted,,,
165,P1,Memory Lane,Realm,69c45fcd-cc74-4cbb-8d0a-9a935a8b0448,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:49
166,P1,Elixir,Realm,,unattempted,,,
168,P1,Undertow,Realm,09c831fb-37ca-45db-b6d8-33c3372766a0,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:49
170,P1,Tracks,BBC Radio 4 / BBC,,unattempted,,,
171,P1,Murmurs,BBC,a5d774e8-2ec3-4079-8352-e60774f5d1d3,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:14:56
172,P0,Doctor Who: Redacted,BBC Sounds / BBC,,unattempted,,,
173,P1,Lusus,BBC,,unattempted,,,
174,P1,The Piper,BBC,e5160d08-bfdb-4187-893b-43d700331fe4,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:14:56
175,P1,Harland,BBC,4e571693-d554-476f-a2ba-f559f0fab58d,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:56
176,P1,Who Is Aldrich Kemp?,BBC,,unattempted,,,
177,P1,Aldrich Kemp and the Rose of Pamir,BBC,,unattempted,,,
178,P1,Body Horror,BBC,,unattempted,,,
179,P1,Children of the Stones,BBC,,unattempted,,,
180,P1,The System,BBC,,unattempted,,,
182,P1,People Who Knew Me,BBC / Merman,,unattempted,,,
183,P1,Limelight,BBC,4e571693-d554-476f-a2ba-f559f0fab58d,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:56
184,P0,The Fitzroy Diaries,ABC Radio National / ABC,,unattempted,,,
186,P1,The Beef and Dairy Network Podcast,Maximum Fun,9e101219-ea0b-4c28-a6dd-36935a6073aa,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:14:56
187,P1,Valley Heat,Starburns Audio,,unattempted,,,
188,P1,The Neighborhood Listen,CBB World,,unattempted,,,
189,P1,Big Grande Teachers' Lounge,Big Grande,,already-indexed,,,
190,P1,A Very Fatal Murder,The Onion,bc6a3ae2-393c-4781-9ce8-01fbfa862b31,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:14:56
191,P1,This Sounds Serious,Kelly & Kelly,,already-indexed,,,
192,P1,Gay Future,Gay Future Productions,b10163b9-6161-47f1-955d-a9f6b688ae87,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:51
193,P1,Who Killed Avril Lavigne?,Super Normal Media,,already-indexed,,,
194,P1,Bubble,Maximum Fun,edd84c27-8fa7-4317-b1da-813c71eeb7ea,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:51
195,P1,The Offensive,Stak,512458be-6644-400c-b108-d92ad21f74fb,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:56
196,P1,Meet Cute Rom-Coms,Meet Cute,7e553e20-923d-4e66-9266-0b485c813938,needs-review,needs-review,insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:50
197,P1,Next Stop,Multitude,,already-indexed,,,
198,P1,Life With LEO(h),Atypical Artists,,already-indexed,,,
199,P1,Quid Pro Euro,Felix Trench,d000e7d1-3f26-43cd-985e-d4d1e2da8525,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:56
200,P1,St Elwick's Neighbourhood Association Newsletter Podcast,Mike Wozniak,1aaa7f65-7d24-4c89-a7cd-331efdc85da6,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:51
201,P1,Gather the Suspects,MadeUp Audio Productions,,already-indexed,,,
205,P1,In Strange Woods,Atypical Artists,bd66f095-ca41-4518-b185-8e34ef5eeffe,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:49
206,P1,The Ballad of Anne & Mary,Long Cat Media,,already-indexed,,,
207,P1,The Flame,Lez Hang Out,2581ce11-9985-4d71-8af4-d2d6b3a3d404,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict,2026-08-15 17:15:50
209,P1,The Fall of the House of Sunshine,Roi Gold Productions,22c14568-c3fe-4d89-957c-1e564a31062c,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:57
214,P1,Falling in Love with Mr. Dellamort,Broadway Podcast Network,6256a4e7-a7f2-420b-93bb-788a32e5252e,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:52
215,P0,Parkdale Haunt,Emily Kellogg & Alex Nursall,,unattempted,,,
218,P1,How It Ends,How It Ends Studio,4999c933-0768-4e00-96fa-5c76318aaa7e,needs-review,needs-review,placeholder-description; insufficient-discovery-signals; missing-genre; scope-review; source-conflict; duplicate-ambiguity,2026-08-15 17:15:51
222,P1,Return Home,Jeff Heimbuch / Bamfer Productions,7e1211c6-4d37-48df-86f3-592fdff7cd92,needs-review,needs-review,insufficient-discovery-signals; source-conflict; duplicate-ambiguity,2026-08-15 17:15:56
224,P1,The Deep Vault,Night Vale Presents / Dead Signals,304a3f94-21dd-4842-9ae9-2fbfaee6e8ae,needs-review,needs-review,insufficient-discovery-signals; missing-genre; source-conflict; duplicate-ambiguity,2026-08-15 17:15:58
